"Full area","Non-hollow area","Hollow area","Avg. Color"
66810,27797.,39013.,"{0.6167159430752625, 0.5056124626171516, 0.42890567632537446}"
57817,26106.,31711.,"{0.5555116261008757, 0.4555775881101824, 0.37914155786330456}"
55063,20287.,34776.,"{0.607464248616413, 0.5190726629354769, 0.46219115145472933}"
42188,14793.,27395.,"{0.5976077204371499, 0.4756550045826984, 0.4590917963848521}"
53472,13024.,40448.,"{0.6163637043685906, 0.5528631440607256, 0.45641486546747767}"
58667,22456.,36211.,"{0.5993836933412824, 0.45408518735022463, 0.4044567260146414}"
49790,19231.,30559.,"{0.6065263124731305, 0.5387798951675439, 0.46880600482811946}"
52976,20238.,32738.,"{0.6019611544406028, 0.4925119625017293, 0.4226770835184461}"
53934,19670.,34264.,"{0.5820699518728936, 0.4943487210585041, 0.41703178249090084}"
55509,22361.,33148.,"{0.6146538328530592, 0.5179446258317583, 0.4646292652066331}"
44918,8947.,35971.,"{0.6469961384971904, 0.5519846622472854, 0.5048909166944063}"
53275,20858.,32417.,"{0.5863615535373774, 0.460911842916475, 0.4023912919462202}"
48522,18690.,29832.,"{0.6203711920446289, 0.5567972805543513, 0.46090804979512845}"
50290,21837.,28453.,"{0.620967252679509, 0.5296923334854089, 0.4543678039917829}"
48060,22328.,25732.,"{0.6056763196331078, 0.5484361051953055, 0.46113967018353447}"
50603,17991.,32612.,"{0.61562939188674, 0.49605537608601374, 0.4405442132587013}"
44110,11331.,32779.,"{0.620309653673262, 0.5607620876507237, 0.4637438489337983}"
47615,17854.,29761.,"{0.6044411775000572, 0.5027103421438142, 0.43343360656248436}"
37615,11240.,26375.,"{0.6042474711537678, 0.5183147107041668, 0.45077250679619124}"
40311,13702.,26609.,"{0.6008593966225783, 0.49540109958797374, 0.42776948441554097}"
59385,21560.,37825.,"{0.5916263267114975, 0.4996816717762513, 0.4246003232479856}"
53439,22159.,31280.,"{0.5830281842334717, 0.4853922137353696, 0.4123445130218527}"
54255,14900.,39355.,"{0.6348833486024739, 0.5512573341934582, 0.47378960283776705}"
44974,14087.,30887.,"{0.5999846534424428, 0.5074272106672923, 0.4467735170734929}"
45285,15717.,29568.,"{0.5760195883586623, 0.4531170127320413, 0.3952819073969954}"
