"Full area","Non-hollow area","Hollow area","Avg. Color"
48320,15256.,33064.,"{0.6076563108686851, 0.4735802980132923, 0.43656383911184093}"
48495,17656.,30839.,"{0.6281860470757549, 0.5050879310379774, 0.4278603211570444}"
48863,13858.,35005.,"{0.5978036230147658, 0.4715264326470629, 0.41878232577444496}"
62323,20543.,41780.,"{0.614279812979331, 0.49529280255017816, 0.41806792129434206}"
56435,20088.,36347.,"{0.5992757935990459, 0.4462107196028563, 0.3957495435492115}"
60035,20322.,39713.,"{0.6489763324334505, 0.4986445488497947, 0.42149811302889056}"
67775,22591.,45184.,"{0.6034550885643386, 0.4815855230325561, 0.4182185865862891}"
61952,22791.,39161.,"{0.5963568885714994, 0.48153212860560435, 0.42272746262768496}"
56997,16476.,40521.,"{0.6155373846645001, 0.48728605255114876, 0.43855689687149224}"
62881,18214.,44667.,"{0.5968077891291933, 0.4604997114063604, 0.4116488318582917}"
59660,22700.,36960.,"{0.6320020639834256, 0.5008630606114564, 0.42133580485502803}"
33479,11421.,22058.,"{0.586348597804071, 0.44433332220551597, 0.40414377406025886}"
46416,12998.,33418.,"{0.5965230887252878, 0.43985745280538907, 0.38518926874441256}"
64296,23266.,41030.,"{0.6031151878443893, 0.4928223510382376, 0.4000057942799323}"
50078,20164.,29914.,"{0.6290459040758586, 0.48354144005941313, 0.4346220680052961}"
43525,16391.,27134.,"{0.624521944791669, 0.4847630052595444, 0.4108156006802615}"
54233,16632.,37601.,"{0.6242281398019468, 0.48233551455362256, 0.42154993540949354}"
37965,12860.,25105.,"{0.6262446061000118, 0.47203580180921145, 0.40968921323305063}"
49497,20724.,28773.,"{0.5907460424418471, 0.47424969705040343, 0.4337005966295588}"
51820,19299.,32521.,"{0.59749381342653, 0.4405159640081837, 0.42544093052123055}"
54980,20760.,34220.,"{0.6496692558434044, 0.492183610439488, 0.4370548292070927}"
46565,11520.,35045.,"{0.6502199118667547, 0.5067066697827122, 0.45761156132163605}"
56400,17369.,39031.,"{0.5902203448755182, 0.4400766235572574, 0.4202113057989446}"
45454,16954.,28500.,"{0.6126425595538105, 0.4798053106049427, 0.43064662658309016}"
48644,13177.,35467.,"{0.6273388411362739, 0.504860523273564, 0.42688980040664254}"
