"Full area","Non-hollow area","Hollow area","Avg. Color"
53575,14570.,39005.,"{0.6508503929802653, 0.546997447229006, 0.46107304218934964}"
58722,25732.,32990.,"{0.6161908787900682, 0.48523150958557215, 0.40946887661443243}"
39549,8925.,30624.,"{0.6364914409971975, 0.4893871538856079, 0.4461226802790102}"
50384,22231.,28153.,"{0.6165077304341364, 0.5007121775353719, 0.4347372959981539}"
57081,13935.,43146.,"{0.6242851317923633, 0.5045456216158167, 0.4579704589041653}"
61682,19334.,42348.,"{0.6418223513262414, 0.5271616405714232, 0.4381351282447873}"
54286,16145.,38141.,"{0.6309495171903008, 0.5021211549867113, 0.4446966790990438}"
62193,22488.,39705.,"{0.5715943065277438, 0.44238860498459365, 0.38823548328219826}"
52658,18484.,34174.,"{0.6281163169813607, 0.5210689919934731, 0.42780308598811395}"
47703,15646.,32057.,"{0.5938026670743873, 0.4367112192968747, 0.4194599509300668}"
48058,18300.,29758.,"{0.6450743749994245, 0.5330429978808219, 0.42526204039401755}"
50305,19394.,30911.,"{0.641066124093945, 0.47918107388075876, 0.4667528078720409}"
45266,12341.,32925.,"{0.565841912252, 0.433227813283304, 0.40439008458071213}"
38947,11551.,27396.,"{0.6221357631814002, 0.4852117281555287, 0.4313819131781765}"
39748,11413.,28335.,"{0.5835831424247101, 0.4324418345379998, 0.3843308924656588}"
32035,10293.,21742.,"{0.6048876688181003, 0.4529704948938071, 0.4003612470428927}"
60959,20520.,40439.,"{0.5948724777727217, 0.4820735505606867, 0.4030144980120343}"
56673,19074.,37599.,"{0.6080584073129133, 0.47320302955762655, 0.41286776599019154}"
51527,21742.,29785.,"{0.5888985671703498, 0.46030335514184345, 0.4017756538833903}"
56833,15208.,41625.,"{0.620359684703975, 0.5162537782695558, 0.4426199498151934}"
50039,17858.,32181.,"{0.6048462591335262, 0.47888490114967713, 0.4212945275234608}"
47206,15602.,31604.,"{0.6017845023023318, 0.46069824955787725, 0.4165415994809816}"
53323,12812.,40511.,"{0.6456978980853223, 0.5447998932146216, 0.47410023927435724}"
54737,19221.,35516.,"{0.6223957197106227, 0.5018706563686084, 0.4287001623091526}"
50744,19184.,31560.,"{0.5854102716287354, 0.4492432602869716, 0.39526573990785024}"
