"Full area","Non-hollow area","Hollow area","Avg. Color"
51842,17917.,33925.,"{0.6652524904100716, 0.570747164650349, 0.49980355090998463}"
52675,24052.,28623.,"{0.5945725639092573, 0.4786556110816774, 0.39471245242285385}"
47429,13622.,33807.,"{0.6555988951906351, 0.577569444358301, 0.49952180328161866}"
50056,22216.,27840.,"{0.630982084379164, 0.5357988072966148, 0.46590955384873034}"
49312,23584.,25728.,"{0.5782837729510872, 0.491255360028507, 0.413783941545493}"
62628,20935.,41693.,"{0.6624155455117208, 0.5770167950938095, 0.4921165374881085}"
45913,14905.,31008.,"{0.5969812471413113, 0.5383428931871773, 0.46201985596802264}"
52662,21642.,31020.,"{0.5618100189070863, 0.49471248755476227, 0.4082807784160224}"
39737,7837.,31900.,"{0.6673257057307875, 0.5547601953432175, 0.5315503356135488}"
53741,28475.,25266.,"{0.5875708144108567, 0.49071403109542533, 0.4468567650725834}"
53270,21205.,32065.,"{0.5846992568380517, 0.47926309551417945, 0.4064617174071096}"
42332,17960.,24372.,"{0.5661038884040513, 0.4776503382227907, 0.41994856716193607}"
50010,13301.,36709.,"{0.6061559452814924, 0.5179200238384023, 0.4529429016157908}"
42566,16832.,25734.,"{0.5871724924522891, 0.4995699412124284, 0.4240480987771779}"
32874,6882.,25992.,"{0.6144430248828623, 0.5457791901818956, 0.4799309782926368}"
50393,16850.,33543.,"{0.6397973107842222, 0.5135914846561136, 0.44034228221085975}"
55425,21498.,33927.,"{0.6188182935780929, 0.5088986176338288, 0.4504727285592081}"
35311,25525.,9786.,"{0.6404645333537216, 0.5577964096062988, 0.5009175055709644}"
45887,17994.,27893.,"{0.5939594152216024, 0.5413194475602454, 0.46211396538044625}"
45120,18502.,26618.,"{0.5779151022110756, 0.44758074329024927, 0.4059597065776949}"
57576,22889.,34687.,"{0.6364146825882779, 0.5166298866357958, 0.44197357559115386}"
53133,16569.,36564.,"{0.6477462586487218, 0.5244766093816713, 0.47251584351960113}"
54547,15813.,38734.,"{0.6295582474835807, 0.5464571837131221, 0.4680211380939165}"
41912,8908.,33004.,"{0.6322111875862731, 0.4837495181313722, 0.4413791361171336}"
44880,18104.,26776.,"{0.6216950648351617, 0.5087428786131462, 0.4309634406347285}"
