"Full area","Non-hollow area","Hollow area","Avg. Color"
0.25715099783647377,0.07379008344493351,0.18336091439154026,"{0.6290453095665953, 0.4902369754897925, 0.4096728760211997}"
0.26933509526229404,0.09950919870325045,0.1698258965590436,"{0.6376549350357662, 0.5378365138865024, 0.45742568964887775}"
0.18861831801242737,0.043593713930094646,0.14502460408233273,"{0.5946405666064654, 0.44275453193964037, 0.3967932490961738}"
0.22950158654059166,0.08665107517218826,0.1428505113684034,"{0.6481068002084714, 0.5003704161128777, 0.44867717632950616}"
0.2777675920682996,0.07670417077653274,0.20106342129176685,"{0.6196400356019376, 0.4866232817525321, 0.4546811488215619}"
0.29115633189497775,0.12119276191869324,0.1699635699762845,"{0.6170542186453809, 0.5172549869502594, 0.43233014854619617}"
0.2520025856709024,0.07388473391928668,0.1781178517516157,"{0.6517135466425386, 0.5056842682213569, 0.4605124716826972}"
0.28503273302394994,0.08543495998656023,0.1995977730373897,"{0.6464877362437562, 0.5105681335899064, 0.45816057568065643}"
0.2414562282710104,0.0962710052018966,0.1451852230691138,"{0.6446945812439736, 0.5260959653271098, 0.43236724224998047}"
0.22110063989270384,0.044936029748193496,0.17616461014451035,"{0.6551019894251392, 0.5325517361717834, 0.4966177507105178}"
0.2216427289730899,0.08929842025788318,0.13234430871520672,"{0.6571230293451982, 0.5366076168031174, 0.4344309523592533}"
0.2367351773381243,0.06301427034964005,0.17372090698848425,"{0.6203440934394786, 0.4907730675686678, 0.46387798086115906}"
0.2117904750517875,0.058450970207342495,0.153339504844445,"{0.63374287784742, 0.5020525554244857, 0.4651628525626799}"
0.1822738680345756,0.06471511069180377,0.11755875734277182,"{0.6016760617700566, 0.46703265916913067, 0.4196249363632642}"
0.18195836645339852,0.04731089619559914,0.13464747025779938,"{0.6427683406274657, 0.4956747150310584, 0.44584748905871163}"
0.14558677053606645,0.03548532329384374,0.1101014472422227,"{0.6446348353560838, 0.4944580483940172, 0.43751792882091056}"
0.28176872575686346,0.07397077980506225,0.2077979459518012,"{0.6412548508648062, 0.5326340383566204, 0.4444220766921725}"
0.2639572274013211,0.09442388685391442,0.16953334054740668,"{0.6354961426267165, 0.5056412098573464, 0.4453148719745418}"
0.2388920608748985,0.08350753214518752,0.15538452872971098,"{0.6361957629731049, 0.5038455290869036, 0.4473985295883832}"
0.2667967416319148,0.06750012919473958,0.19929661243717522,"{0.6490583728518343, 0.5215792936252132, 0.45611406819905903}"
0.22774051407838505,0.061981719720333256,0.1657587943580518,"{0.658339124168739, 0.5392798917002374, 0.48089676212041205}"
0.21366914355788738,0.04369410079683281,0.16997504276105457,"{0.6640000673808043, 0.5500709605147732, 0.493468421518115}"
0.254150864619099,0.09909044205914269,0.15506042255995633,"{0.5916269353921113, 0.47287492448739243, 0.409227170836816}"
0.24726432556086117,0.046249663604367136,0.20101466195649403,"{0.6618347704471915, 0.5438951258216504, 0.468332567979492}"
0.2352006923751267,0.06112699725496262,0.17407369512016407,"{0.6133724423759056, 0.4467383665782211, 0.4179950374843428}"
