"Full area","Non-hollow area","Hollow area","Avg. Color"
56920,24211.,32709.,"{0.5553786532181301, 0.4873057473165222, 0.38771195899308986}"
66905,24885.,42020.,"{0.6394320891048857, 0.5994128051040517, 0.5070890390384074}"
65581,25678.,39903.,"{0.6287940283994755, 0.5578909601686838, 0.4520577606319434}"
45237,17431.,27806.,"{0.6196958328835952, 0.5433938121969366, 0.4448778914709751}"
66746,25650.,41096.,"{0.5978980307551255, 0.5226858861484233, 0.43783474136368944}"
48777,21713.,27064.,"{0.6114354764600403, 0.5336556485357289, 0.4385589157860701}"
51131,15110.,36021.,"{0.6521235534560369, 0.5914609187243061, 0.4870170852953701}"
50319,18336.,31983.,"{0.6387328841987587, 0.554816895656697, 0.46648009230525894}"
50563,14186.,36377.,"{0.5738467212132268, 0.5072117757966943, 0.4121178277691694}"
54981,22998.,31983.,"{0.6055854589338878, 0.5110819388230784, 0.42894589967091074}"
43526,18516.,25010.,"{0.59686263698144, 0.5173387463702347, 0.4013492048476454}"
53660,15355.,38305.,"{0.6037655390146741, 0.5318693589996522, 0.41607353489292226}"
55547,21925.,33622.,"{0.5856154318353097, 0.48794897943698523, 0.43566709273232823}"
49051,21203.,27848.,"{0.6266775556932809, 0.5981576598346069, 0.5104665372295721}"
37320,13786.,23534.,"{0.5886554021393948, 0.47225195973355266, 0.3995186306033695}"
47704,16624.,31080.,"{0.5996621321679391, 0.5244996103422179, 0.45016712537778714}"
45764,14237.,31527.,"{0.6345264965525861, 0.5513211000683829, 0.43933068376378576}"
35945,14047.,21898.,"{0.6121564808980621, 0.5187092480614327, 0.45169422783719615}"
35245,10134.,25111.,"{0.6155081377138506, 0.5035019290735586, 0.4189430290487846}"
70074,25755.,44319.,"{0.5678788865775931, 0.4997544332686126, 0.39663783999780683}"
47713,10412.,37301.,"{0.6287705533452534, 0.5448074126219383, 0.4672872070463924}"
68609,20079.,48530.,"{0.6114633677225186, 0.5455883424657739, 0.445648272864271}"
50270,18936.,31334.,"{0.5919504479730782, 0.48633910218160925, 0.4256005023852107}"
59193,17032.,42161.,"{0.6093352983245053, 0.5118531834878508, 0.4201265186696328}"
36085,11777.,24308.,"{0.5991418953613885, 0.4985261922421765, 0.414342497425757}"
