Cran id,Area (in^2),Width (in),Length (in)
0,0.24570780966116726,0.5175883426101422,0.6175335934612747
1,0.32223104336508585,0.5935346353680079,0.6825572109732918
2,0.26315330928293623,0.5069007686334202,0.6409985629843412
3,0.31704233504666746,0.5308048767021171,0.7472661897405662
4,0.32731761175597635,0.5846794468273843,0.7056350753575227
5,0.14616223629245526,0.37524210727936763,0.4730172188279901
6,0.3499518196961637,0.6099543206239133,0.7089080595472547
7,0.2918342009327765,0.5139795064310978,0.7118652346063368
8,0.12830817696057462,0.5516484256232549,0.6977138547709152
9,0.2585161565731686,0.5282536304885462,0.5700915130485441
10,0.23057067240152934,0.4915040981926437,0.5849952071919549
11,0.30237504145365796,0.5592158970693845,0.6832805094639961
12,0.31634778353947757,0.5688563170216396,0.7018598980814049
13,0.18144136726059926,0.392237159123904,0.5053739514512829
14,0.30856472106185,0.582199594154158,0.6447312162391607
15,0.2277924663727699,0.517949552960779,0.5578209921322145
16,0.24862901158846581,0.4603127773365333,0.6362841022515451
17,0.4006949356920349,0.6249503777218408,0.7771900801912422
18,0.3247641135677783,0.5849329329084711,0.699983184279068
19,0.19022540102800048,0.4757885951242901,0.49539158374978165
20,0.19659893250574276,0.3965645147178645,0.6236630507559825
21,0.18207463481127237,0.4173847290699757,0.4869275479325897
22,0.2494257030231836,0.5485706520496426,0.5725758034350023
23,0.15265833568323103,0.4151139853455183,0.45502741211137776
24,0.23743447553140565,0.5067993839542013,0.5813372635708838
25,0.3314849207991155,0.5726247645787904,0.7038705723040469
26,0.27831087452807973,0.5529946132470339,0.6333897866689002
