Cran id,Area (in^2),Width (in),Length (in)
0,0.32368220646885204,0.5824106145485767,0.6981169948558136
1,0.43875911270690054,0.574241575805045,0.9298378887613501
2,0.32016998491401033,0.5989645275622941,0.6760742583603613
3,0.3554574814767728,0.6004572796096229,0.7490250970131631
4,0.5625545924516737,0.6892242867118487,0.982620341746509
5,0.3471314503791187,0.5544845576442354,0.774172118254388
6,0.237798059389576,0.4864219204111526,0.6115981396230142
7,0.44334566085498794,0.6793925640646246,0.8264626270977914
8,0.2561029317283392,0.5239703870729749,0.5995006588909424
9,0.28628737697318457,0.5521079637742847,0.6534182959105164
10,0.3755804449733364,0.5682699300647532,0.7963024444455014
11,0.33841287687239396,0.5361603126966039,0.7941643927254359
