Cran id,Area (in^2),Width (in),Length (in)
0,0.22759187555494084,0.4736417867837115,0.6154614917161669
1,0.1500137799333008,0.37644103386829475,0.4992506941027873
2,0.2590690572843841,0.502822368966081,0.6579551813720924
3,0.17239130414938236,0.40642989614520286,0.537161155871544
4,0.24241648315949038,0.5175365532997922,0.5960986994547345
5,0.14013070819693443,0.36157140268520765,0.4614007282147489
6,0.25760266655927283,0.5493177813407989,0.5951647610500066
7,0.15618065599644,0.3748878468620166,0.532470669900096
8,0.2934187578315111,0.493695276618526,0.7616925601392498
9,0.19223779779883352,0.4173607425701331,0.5917998167143477
10,0.20734363102189757,0.4729139502523824,0.5563084164460365
11,0.1440477793119577,0.4009546562550512,0.4517603638624416
12,0.20627899118037843,0.4050466633937487,0.6437346840457786
13,0.45106580455306233,0.6161187738990003,0.9248447761288388
14,0.46014537452224447,0.6333933218622211,0.9274165522506341
15,0.34671101254000697,0.5493442331767325,0.7962411724855099
16,0.1455945202137874,0.40541918938664573,0.4540733278710437
17,0.153067086648601,0.41836117324983124,0.45836191035356233
18,0.30850450351039554,0.5251757177865762,0.757347785639629
19,0.42977300772267957,0.604987773636905,0.9073417848878291
20,0.2529021812212449,0.47560671813561467,0.6660361447127879
21,0.30442673204193543,0.49195559691521307,0.7907786023961162
22,0.27760986056216086,0.5343813435556234,0.6569269931899704
23,0.23673170815666175,0.4466689415624274,0.6580655827275521
24,0.42475112167777795,0.5808474509713362,0.9185829930733115
25,0.29046588883710894,0.529371066010082,0.6932638366897762
26,0.2365710078032249,0.44045827293209555,0.6821102048751819
27,0.3103324700307397,0.5859568624541059,0.6703494865006046
28,0.3440192816199397,0.5550598124171403,0.7911077270677144
29,0.31103553407702594,0.546899541926662,0.729527321076033
30,0.5513026500092985,0.6869883199570915,1.0135810624405406
31,0.2381378362492342,0.47260523266444776,0.6411619891216381
32,0.2743556784050646,0.5328684629574818,0.6533711797566332
33,0.20539513923647573,0.48269015227770173,0.5340894545580085
34,0.2236948919840972,0.48855525451026083,0.5788183968873526
35,0.271884910470973,0.482259765916076,0.7124257013857531
36,0.21668433906541454,0.44551313657038066,0.6195320762528195
37,0.3233692862033043,0.5602360063229893,0.725522358370024
38,0.27612338229287,0.49792447545474394,0.7028767336877685
39,0.1590531748141237,0.41609579353109877,0.4901626750339057
40,0.20380822324628683,0.41155836068712776,0.6226843420246099
41,0.21485637254507037,0.41885781009633644,0.6526422309908864
42,0.33066106474050144,0.526478241005721,0.8011272182823976
43,0.17546469840886217,0.41519053143113993,0.5281611000376958
44,0.24048807891824817,0.4513519803990788,0.6792824214052464
45,0.18854168966978593,0.46574318152949806,0.5185011023300155
46,0.19207709744539667,0.4531117770379464,0.539247369132993
47,0.27785091109231613,0.4995626516779387,0.7008188582249615
48,0.2928964816828413,0.5482248901303785,0.6708087909570901
49,0.3028197285075669,0.5308843818303871,0.7289967852587975
50,0.2827723594163197,0.5048303873121649,0.7161603427702466
51,0.17229086642848435,0.4289921999621683,0.5074603381298071
52,0.4942339369950366,0.6644462297917171,0.9431100831681256
53,0.2464942546279505,0.5001511687589483,0.6086767650522554
54,0.2224695517891412,0.45861525801070363,0.6139307670093241
55,0.2674254756631004,0.5075371306626455,0.6745550382659422
56,0.3183474001584027,0.5561234470265738,0.7248239235137363
57,0.2233734912772235,0.4669980237427369,0.618349239128621
58,0.3595067781824163,0.5485543533081039,0.825707840703315
59,0.30199613919620305,0.46777470187240777,0.8105311119259017
60,0.2887383600376628,0.5047418921389318,0.7304988820188895
61,0.13295945492481495,0.3621276891471134,0.4336519785920846
62,0.22664776097849934,0.4630398232402887,0.6223776071154198
63,0.25454935984397264,0.4488574320322852,0.7165536868899617
64,0.2306250947260614,0.4245284163798553,0.6878582323457753
65,0.34946300609261305,0.5462618447411836,0.8212913996207809
66,0.3922494751951747,0.5806486511586796,0.8582335404338979
67,0.10582118273816667,0.3336467507714856,0.3940515733416926
68,0.27849371250606353,0.47361722091048614,0.7503120325034479
69,0.18838098931634908,0.4529125420031264,0.5294102360047918
70,0.22178657528703458,0.4813499581624101,0.5782639722091459
71,0.29950528371793184,0.5036387006706433,0.7550878703769487
72,0.1678113440764321,0.4357078230181289,0.4868474910989336
