Cran id,Area (in^2),Width (in),Length (in)
0,0.46819800951093,0.7185351992614366,0.823144625257898
1,0.3354653870529481,0.6337970405746197,0.6666822127901296
2,0.33875951138880617,0.6142208862490759,0.6918922933096525
3,0.4434920769919943,0.7286030169005109,0.7607273968511034
4,0.3700331043023589,0.6532227989003033,0.7068799988425887
5,0.3138682843759785,0.5991209222435878,0.6482427428150912
6,0.30837121439051535,0.598489572369175,0.6464879759456293
7,0.35119483075667046,0.6227394586356847,0.772142120332675
8,0.17030622816386318,0.4763362963265298,0.5095074265613051
9,0.21539455501092078,0.5362837404231213,0.6651077057095627
10,0.25543875396869564,0.520422053969123,0.6192741330959387
11,0.37075369400082786,0.6263739796752733,0.722677013058366
12,0.35873014017494587,0.6560281347023819,0.6871888444507456
13,0.4184567320394728,0.686049222678368,0.7427667266412447
14,0.3482301188543982,0.5936049824948115,0.7053276692971574
15,0.21846220829868862,0.46862654305245,0.5859049227129103
16,0.28652705238835635,0.5839126163280444,0.6107586450022958
17,0.3733066403611179,0.6598236754176019,0.7186026620504364
18,0.24769756177942914,0.5502401660937354,0.5647972455801971
19,0.3474477643246319,0.6243616498646448,0.7024370503467208
